HCl (%),H2SO4 (%),CuSO4 (%),pH Value,Temperature (°C),Etching Time (s),Capacitance (pF),Insulation Resistance (MΩ),Impedance Match (Ω),Dielectric Breakdown (kV),Board Thickness (mm),Board Width (mm),Board Length (mm),Hole Diameter Deviation (mm),Pad-to-Hole Alignment (mm),Silkscreen Clarity,Solderability Test,Dimension Accuracy,Frequency Test Result,Defect Type,PCB_Status
3.26,3,1.15,4.61,43.03,122,30.82,78.9,50.01,3.86,1.25,147,206,0.025,0.032,Clear,Pass,Accurate,Pass,None,OK
3.37,2.59,1.16,5.48,45.39,114,34.63,68.41,50.17,4.22,1.25,158,205,0.037,0.044,Clear,Pass,Accurate,Pass,None,OK
3.98,3.12,1.18,5.5,43.22,123,32.96,53.48,48.39,3.81,1.46,154,198,0.035,0.032,Clear,Pass,Accurate,Pass,None,OK
4.21,3.63,1.14,4.76,45.18,118,27.16,51.53,46.23,3.66,1.45,153,180,0.085,0.056,Clear,Pass,Accurate,Fail,Short Circuit,Faulty
3.82,3.72,1.53,5.55,40.38,97,27.57,50.17,53.22,3.69,1.01,135,203,0.099,0.054,Clear,Pass,Accurate,Fail,Misalignment,Faulty
3.57,3.18,1.2,5.25,46.43,102,32.01,79.55,51.05,4.31,1.41,131,200,0.025,0.033,Clear,Pass,Accurate,Pass,None,OK
3.5,3.13,1.26,4.76,46.23,101,25.6,55.83,48.6,4.2,1.46,161,201,0.012,0.005,Clear,Pass,Accurate,Pass,None,OK
3.5,3.3,1.29,5.45,43.13,102,26.08,87.16,49.34,3.41,1.24,165,200,0.026,0.033,Clear,Pass,Accurate,Pass,None,OK
3.7,3.23,1.31,4.71,43.2,103,32.85,90.14,49.21,3.95,1.32,161,202,0.034,0.023,Clear,Pass,Accurate,Pass,None,OK
3.67,2.92,1.11,5.88,44.58,117,26.12,92.59,48.83,3.78,1.43,164,218,0.031,0.021,Clear,Pass,Inaccurate,Fail,Misalignment,Faulty
4.38,3.68,1.46,5.84,49.45,119,38.54,92.17,50.26,2.91,1.3,163,212,0.049,0.047,Clear,Pass,Accurate,Fail,Open Circuit,Faulty
3.65,3.46,1.33,5.77,46.74,80,31.77,89.83,51.78,3.44,1.38,142,196,0.02,0.078,Clear,Pass,Accurate,Fail,Delamination,Faulty
3.95,2.93,1.27,5.23,46.01,95,26.98,77.2,51.03,3.01,1.28,149,197,0.023,0.033,Clear,Pass,Accurate,Pass,None,OK
3.37,3.32,1.32,4.62,44.48,97,25.29,57.48,47.54,3.59,1.2,166,203,0.004,0.016,Clear,Pass,Accurate,Pass,None,OK
3.17,3.19,1.05,5.15,45.3,112,34.11,89.34,48.23,3.36,1.29,167,207,0.001,0.029,Clear,Pass,Accurate,Pass,None,OK
3.19,2.62,1.33,5.26,44.08,113,33.91,65.39,48.2,4.41,1.31,162,203,0.016,0.021,Clear,Pass,Accurate,Pass,None,OK
3.02,3.04,1.15,5.36,43.69,121,27.18,61.13,47.65,3.61,1.23,134,205,0.008,0.028,Clear,Pass,Accurate,Pass,None,OK
3.27,3.87,1.31,5.27,45.82,98,22.24,64.3,52.62,2.72,1.54,171,217,0.051,0.098,Clear,Pass,Accurate,Fail,Delamination,Faulty
3.56,3.23,1.21,5.23,44.18,105,32.8,73.53,48.25,3.98,1.37,135,204,0.045,0.007,Clear,Pass,Accurate,Pass,None,OK
3.93,3.05,1.17,5.42,43.99,110,25.48,96.13,50.64,4.1,1.31,151,209,0.009,0.02,Clear,Pass,Accurate,Pass,None,OK
2.89,2.26,0.95,5.19,45.04,122,37.94,55.64,46.69,3.83,1.01,173,213,0.003,0.01,Clear,Pass,Accurate,Fail,Open Circuit,Faulty
3.71,3.45,1.19,5.02,44.79,112,27.85,64.87,51.39,4.16,1.21,150,196,0.02,0.019,Clear,Pass,Accurate,Pass,None,OK
3.99,2.6,1.11,5.18,45.99,121,31.24,95.28,50.96,4.1,1.41,148,197,0.036,0.037,Clear,Pass,Accurate,Pass,None,OK
3.91,3.22,1.07,4.87,45.22,100,32.63,52.68,49.85,3.43,1.42,144,195,0.041,0.035,Clear,Pass,Accurate,Pass,None,OK
2.69,3.01,1.01,4.39,49.36,122,39.48,86.73,50.38,3.25,1.18,136,206,0.091,0.03,Blurred,Pass,Accurate,Fail,Open Circuit,Faulty
3.49,3.32,1.04,4.51,45.44,119,25.1,54.18,47.31,4.03,1.45,163,202,0.024,0.045,Clear,Pass,Accurate,Pass,None,OK
2.64,3.47,1.45,4.6,42.09,124,37.98,58.82,54.14,3.02,1.16,142,200,0.081,0.048,Clear,Pass,Accurate,Fail,Short Circuit,Faulty
3.14,3.08,1.42,5.29,40.39,105,38.62,66.32,47.16,3.87,1.29,168,198,0.036,0.092,Clear,Pass,Inaccurate,Fail,Open Circuit,Faulty
4.19,3.18,1.41,5.2,47.41,95,39.22,32.37,45.44,4.51,1.24,180,218,0.086,0.042,Clear,Pass,Accurate,Fail,Delamination,Faulty
3.49,3.2,1.18,5.26,44.88,96,28.26,84.93,52.75,3.82,1.35,136,206,0.009,0.032,Clear,Pass,Accurate,Pass,None,OK
4.13,2.6,0.87,4.73,49.68,112,23.43,58.33,51.96,4.77,1.12,180,218,0.008,0.016,Clear,Pass,Accurate,Fail,Open Circuit,Faulty
3.63,2.89,1.05,5.37,44.3,98,27.14,59.53,48.01,3.9,1.49,146,197,0.014,0.016,Clear,Pass,Accurate,Pass,None,OK
2.74,3.38,1.09,4.41,46.01,92,20.51,91.16,45.77,3.97,1.51,151,181,0.064,0.08,Clear,Pass,Accurate,Fail,Open Circuit,Faulty
3.89,3.75,1.15,4.94,45.3,112,21.27,62.33,45.28,3.91,1.12,141,214,0,0.029,Clear,Pass,Accurate,Fail,Misalignment,Faulty
3.11,2.89,1.1,4.67,43.57,99,34.99,65.83,51.01,3,1.47,134,200,0.021,0.039,Clear,Pass,Accurate,Pass,None,OK
4.25,3.52,1.01,4.36,42.47,116,30.25,45.93,52.48,4.59,1.13,141,207,0.041,0.06,Clear,Pass,Accurate,Fail,Open Circuit,Faulty
3.97,2.32,0.83,4.22,44.6,93,30.92,63.3,54.92,4.32,1.38,140,194,0.052,0.045,Clear,Pass,Accurate,Fail,Short Circuit,Faulty
3.61,3.09,1.05,4.53,44.42,115,31.71,56.82,52.48,3.39,1.37,168,206,0.018,0.025,Clear,Pass,Accurate,Pass,None,OK
3.46,2.9,1.04,4.66,45.66,108,29.06,66.61,51.19,4.4,1.33,131,198,0.017,0.01,Clear,Pass,Accurate,Pass,None,OK
2.85,2.49,1.25,5.37,47.43,93,29.99,67.95,46.72,3.47,1.03,133,191,0.081,0.057,Clear,Pass,Accurate,Fail,Open Circuit,Faulty
3.64,3.38,1.35,5.4,45.94,95,25.76,64.02,48.31,3.44,1.2,156,191,0.007,0.037,Clear,Pass,Accurate,Pass,None,OK
4.11,3.98,1.33,5.38,45.65,83,22.97,62.86,50.79,3.89,1.47,122,218,0.079,0.064,Blurred,Pass,Accurate,Fail,Solder Bridge,Faulty
4.48,2.2,1.06,4.63,40.88,118,27.98,60.78,48.64,4.9,1.07,128,199,0.073,0.1,Clear,Pass,Accurate,Fail,Solder Bridge,Faulty
3.57,2.61,1.27,4.8,44.88,123,30.99,86.82,48.89,3.66,1.41,153,199,0.046,0.007,Clear,Pass,Accurate,Pass,None,OK
3.31,3.14,1.37,4.73,45.58,116,31.42,85.1,47.18,3.28,1.37,157,203,0.001,0.009,Clear,Pass,Accurate,Pass,None,OK
3.61,2.63,1.26,4.51,43.84,108,33.16,97.75,50.68,3.21,1.48,130,191,0.022,0.038,Clear,Pass,Accurate,Pass,None,OK
3.37,3.04,1.34,4.8,46.44,115,27.89,86.22,50.68,3.31,1.38,150,194,0.049,0.039,Clear,Pass,Accurate,Pass,None,OK
3.19,3.22,1.22,5.22,46.46,107,34.81,84.74,51.35,3.83,1.5,157,206,0.033,0.04,Clear,Pass,Accurate,Pass,None,OK
3.68,2.67,1.19,5.46,44.28,116,29.39,84.71,47.07,4.38,1.46,132,197,0.018,0.015,Clear,Pass,Accurate,Pass,None,OK
3.36,2.38,1.48,4.6,43.3,98,28.33,40.34,46.18,2.68,1.18,161,205,0.098,0.087,Clear,Fail,Accurate,Fail,Misalignment,Faulty
4,2.71,1,4.18,44.41,110,32.97,36.77,52.56,3.56,1.03,161,186,0.009,0.032,Clear,Pass,Accurate,Fail,Misalignment,Faulty
4.01,3.57,1.26,5.82,48.57,110,26.19,30.95,45.98,3.49,1.41,151,189,0.034,0.031,Clear,Pass,Inaccurate,Fail,Solder Bridge,Faulty
2.71,3.11,0.85,4.01,46.84,88,32.12,59.61,49.47,4.97,1.47,142,184,0.011,0.01,Clear,Pass,Accurate,Fail,Misalignment,Faulty
3.31,3.2,1.21,4.81,45.19,110,27.96,94.15,51.91,3.49,1.49,159,207,0.007,0.043,Clear,Pass,Accurate,Pass,None,OK
3.89,2.64,1.13,4.74,45.43,124,28.48,64.81,51.43,3.49,1.3,130,197,0.048,0.036,Clear,Pass,Accurate,Pass,None,OK
3.2,3.12,1.26,5.39,44.89,98,30.2,65,47.85,3.85,1.24,147,201,0.001,0.042,Clear,Pass,Accurate,Pass,None,OK
3.6,3.01,1.36,5.35,46.64,123,34.37,87.06,49.09,3.54,1.44,162,203,0.034,0.035,Clear,Pass,Accurate,Pass,None,OK
3.57,2.8,1.31,4.83,45.96,121,32.35,61.44,50.83,4.37,1.44,144,192,0.044,0.029,Clear,Pass,Accurate,Pass,None,OK
3.28,3.92,1.49,5.93,43.29,125,20.12,62.27,45.45,2.71,1.37,126,199,0.032,0.081,Clear,Pass,Accurate,Fail,Misalignment,Faulty
3.2,2.61,1.18,4.57,45.69,100,30.77,95.6,49.97,3.57,1.26,153,203,0.001,0.005,Clear,Pass,Accurate,Pass,None,OK
3.44,3.24,1.38,5.49,45.08,103,26.63,76.74,47.69,3.74,1.43,165,193,0.036,0.036,Clear,Pass,Accurate,Pass,None,OK
3.68,2.88,1.39,5.18,43.34,95,26.49,65.01,47.52,3.8,1.37,163,190,0.05,0.035,Clear,Pass,Accurate,Pass,None,OK
3.32,2.59,1.2,5.43,43.43,116,30.02,88.8,51.69,4.17,1.23,155,198,0.032,0.016,Clear,Pass,Accurate,Pass,None,OK
3.11,3.27,1.35,4.84,44.2,111,32.29,65.62,47.94,3.85,1.35,169,203,0.021,0.037,Clear,Pass,Accurate,Pass,None,OK
3.62,2.73,1,5.15,43.85,122,32.51,98.16,48.03,3.36,1.48,151,199,0.044,0.028,Clear,Pass,Accurate,Pass,None,OK
3.22,3.24,1.03,5.17,46.81,117,27.26,99.15,51.99,3.19,1.35,145,207,0.028,0.028,Clear,Pass,Accurate,Pass,None,OK
3.76,2.9,1.43,4.33,41.99,85,35.69,89.58,50.57,3.27,1.22,121,208,0.011,0.026,Clear,Fail,Accurate,Fail,Delamination,Faulty
3.68,3.06,1.01,5.37,44.64,98,26,83.34,50.67,4.41,1.44,169,199,0.037,0.018,Clear,Pass,Accurate,Pass,None,OK
3.84,2.69,1.31,5.49,46.51,100,28.84,55.68,50.63,4.2,1.21,145,196,0.029,0.006,Clear,Pass,Accurate,Pass,None,OK
3.12,2.58,1.03,4.61,46.27,110,34.18,63.16,49.88,3.03,1.42,134,197,0.002,0.011,Clear,Pass,Accurate,Pass,None,OK
3.85,2.78,0.99,5.52,47.62,140,37.27,75.12,50.94,3.06,1.15,172,204,0.042,0.082,Clear,Pass,Accurate,Fail,Delamination,Faulty
3.44,3.09,1.01,5.13,46.25,101,30.45,75.77,50.41,4.23,1.48,135,203,0.011,0.038,Clear,Pass,Accurate,Pass,None,OK
3.44,2.53,1.06,4.84,43.86,123,28.2,92.57,50.61,3.89,1.35,153,193,0.004,0.014,Clear,Pass,Accurate,Pass,None,OK
3.63,2.57,1.12,5.31,44.79,121,28.24,59.24,52.81,3.78,1.3,159,200,0.005,0,Clear,Pass,Accurate,Pass,None,OK
2.68,3.24,1.41,5.19,40.58,139,30.12,89.59,45.16,3.05,1.38,162,200,0.068,0.049,Clear,Pass,Inaccurate,Fail,Open Circuit,Faulty
3.33,3.2,1.19,5.25,44.27,99,26.32,55.22,48.34,3.02,1.39,166,199,0.001,0.05,Clear,Pass,Accurate,Pass,None,OK
3.42,3.04,1.03,5.39,46.88,103,29.73,53.72,48.29,4.17,1.47,161,206,0.021,0.011,Clear,Pass,Accurate,Pass,None,OK
3.6,2.19,1.3,4.51,41.57,119,34.85,92.36,48.84,2.71,1.37,171,215,0.097,0.024,Clear,Pass,Accurate,Fail,Solder Bridge,Faulty
3.01,2.83,1.2,4.84,46.51,118,32.91,75.35,47.34,3.3,1.25,148,194,0.009,0.033,Clear,Pass,Accurate,Pass,None,OK
4.28,2.96,1.3,4.45,47.67,101,21.28,79.02,51.52,3.03,1.26,152,211,0.059,0,Clear,Pass,Accurate,Fail,Short Circuit,Faulty
3.12,3.04,1.1,4.68,44,113,34.69,94.24,50.95,4.09,1.32,157,199,0.043,0.046,Clear,Pass,Accurate,Pass,None,OK
3.57,3.09,1.11,4.52,44.25,95,30.02,52.12,50.29,3.02,1.25,137,199,0.038,0.03,Clear,Pass,Accurate,Pass,None,OK
2.79,3.16,1.26,4.85,47.21,81,38.01,79.38,52.68,4.41,1.48,144,211,0.043,0.065,Clear,Pass,Accurate,Fail,Solder Bridge,Faulty
3.22,3.07,1.33,4.76,45.12,121,26.67,60.62,47.67,4.19,1.35,130,196,0.029,0.04,Clear,Pass,Accurate,Pass,None,OK
3.74,3.12,1.41,5.92,48.82,117,33.65,49.81,52.53,3.1,1.59,174,205,0.057,0.029,Clear,Pass,Inaccurate,Fail,Solder Bridge,Faulty
3.14,3.14,1.39,4.87,44.11,124,31.83,84.66,49.19,3.03,1.36,133,206,0.024,0.049,Clear,Pass,Accurate,Pass,None,OK
3.32,3.44,1.19,5.45,46.3,120,32.57,91.29,48.07,3.35,1.48,151,209,0.013,0.043,Clear,Pass,Accurate,Pass,None,OK
3.9,3.61,1.11,4.7,45.62,90,38.85,90.76,45.19,2.52,1.37,165,218,0.079,0.005,Clear,Pass,Accurate,Fail,Delamination,Faulty
2.65,2.54,0.98,5.82,45.53,96,36.64,74.17,54.74,3.48,1.16,120,184,0.073,0.031,Clear,Pass,Accurate,Fail,Delamination,Faulty
4.14,3.65,1.28,5.14,41.15,134,32.47,63.11,46.93,3.2,1.42,151,195,0.008,0.022,Clear,Pass,Accurate,Fail,Misalignment,Faulty
3.16,2.89,1.13,4.99,46.28,102,25.72,90.37,48.99,3.4,1.32,151,201,0.024,0.028,Clear,Pass,Accurate,Pass,None,OK
3.06,2.8,1.37,5.06,45.9,114,33.5,89.25,52.71,3.24,1.37,159,194,0.032,0.018,Clear,Pass,Accurate,Pass,None,OK
2.67,2.12,1.07,4.68,42.69,139,33.15,59.11,47.64,3.28,1.32,160,190,0.006,0.084,Clear,Pass,Accurate,Fail,Short Circuit,Faulty
3.28,2.54,1.2,5.38,45.76,117,33.29,56.49,51.1,3.72,1.47,156,194,0.039,0.024,Clear,Pass,Accurate,Pass,None,OK
3.25,3.57,0.97,5.7,47.23,101,23.06,56.8,49.97,4.01,1.06,133,213,0.099,0.048,Clear,Pass,Accurate,Fail,Delamination,Faulty
3.16,2.65,1.29,5.39,45.19,98,29.73,69.86,47.05,3.43,1.3,156,193,0.004,0.042,Clear,Pass,Accurate,Pass,None,OK
4.13,3.58,1.58,5.59,45.95,90,30.2,75.34,51.99,4.32,1.34,132,189,0.051,0.003,Clear,Pass,Accurate,Fail,Misalignment,Faulty
3.8,2.61,1.17,5.03,44.39,117,30.6,99.24,48.52,4.49,1.4,142,196,0.035,0.043,Clear,Pass,Accurate,Pass,None,OK
3.06,2.84,1.08,4.61,46.35,124,32.13,99.44,47.06,3.87,1.43,168,191,0.037,0.042,Clear,Pass,Accurate,Pass,None,OK
4.01,2.29,1.37,5.48,44.84,105,29.61,35.88,47.74,4.12,1.48,121,205,0.044,0.063,Clear,Pass,Accurate,Fail,Short Circuit,Faulty
3.75,3.11,1.26,4.77,46.44,111,31.77,80.12,51.29,3.85,1.3,156,190,0.028,0.03,Clear,Pass,Accurate,Pass,None,OK
3.38,2.55,1.27,4.96,43.2,95,25.17,85.46,49.82,3.33,1.25,168,199,0.011,0.024,Clear,Pass,Accurate,Pass,None,OK
4.05,2.18,1.16,4.79,48.41,110,28.52,31.19,54.29,4.34,1.06,177,182,0.016,0.017,Blurred,Pass,Accurate,Fail,Delamination,Faulty
3.62,2.44,1.34,4.1,49.97,85,25.75,55.55,49.59,4.85,1.26,159,217,0.073,0.097,Clear,Pass,Accurate,Fail,Solder Bridge,Faulty
3.35,3.2,1.34,4.8,44.3,132,23.21,49.17,52.69,3.83,1.2,175,181,0.097,0.095,Clear,Pass,Accurate,Fail,Solder Bridge,Faulty
4.31,3.47,1.1,5.35,43.2,100,25.64,65.43,50.92,2.53,1.39,125,214,0.047,0.037,Blurred,Pass,Accurate,Fail,Short Circuit,Faulty
2.72,4,1.55,4.9,49.07,105,24.67,53.56,48.11,3.35,1.56,144,196,0.063,0.098,Clear,Pass,Accurate,Fail,Short Circuit,Faulty
3.49,3.87,0.93,5.5,41.91,138,34.68,80.84,54.94,3.5,1.15,122,188,0.043,0.004,Clear,Pass,Accurate,Fail,Delamination,Faulty
3.68,3.23,1.18,5.25,44.59,96,26.22,97.56,52.96,3.61,1.35,167,190,0.027,0.016,Clear,Pass,Accurate,Pass,None,OK
3.05,2.9,1.11,5.21,43.11,115,26.63,72.5,51.4,3.19,1.31,137,202,0.025,0,Clear,Pass,Accurate,Pass,None,OK
2.61,3.27,1.36,4.37,40.41,87,35.21,82.51,53.93,4.09,1.54,173,210,0.013,0.013,Clear,Pass,Accurate,Fail,Delamination,Faulty
3.92,3.46,1.33,5.14,46.36,121,32.56,56.84,50.11,4.14,1.28,141,206,0.024,0.038,Clear,Pass,Accurate,Pass,None,OK
3.77,3.07,1.11,5.38,43.71,108,29.4,83.45,51.83,3.5,1.49,153,198,0.023,0.014,Clear,Pass,Accurate,Pass,None,OK
3.14,3.27,1.26,5.3,45.7,120,30.46,98.01,51.23,4.13,1.35,147,193,0.006,0.016,Clear,Pass,Accurate,Pass,None,OK
3.99,3.68,1.31,4.58,49.49,123,34.96,52.58,45.37,3.3,1.25,122,181,0.035,0.054,Clear,Pass,Inaccurate,Fail,Short Circuit,Faulty
3.22,3.36,1.15,5.48,44.43,116,32.73,84.86,48.46,3.56,1.46,144,198,0.009,0.042,Clear,Pass,Accurate,Pass,None,OK
3.64,3.39,1.19,5.39,46.26,96,28.41,90.17,50.18,4.48,1.26,145,196,0.005,0.003,Clear,Pass,Accurate,Pass,None,OK
3.25,3.18,1.36,4.43,40.55,105,36.64,94.57,50.83,4.68,1.18,143,206,0.036,0.06,Clear,Pass,Inaccurate,Fail,Short Circuit,Faulty
3.07,2.37,1.16,5.93,45.38,110,27.23,76.64,54.36,4.74,1.1,173,216,0.019,0.083,Clear,Pass,Accurate,Fail,Misalignment,Faulty
3.92,3.02,1.08,4.7,45.04,95,32.49,71.14,50.34,3.26,1.48,162,191,0.012,0.046,Clear,Pass,Accurate,Pass,None,OK
3.45,2.9,1.26,4.56,44.3,119,29.42,54.82,49.71,3,1.44,139,207,0.013,0,Clear,Pass,Accurate,Pass,None,OK
3.49,3.06,1.09,4.91,44.3,107,28.77,58.44,48.08,3.89,1.44,153,204,0.012,0.047,Clear,Pass,Accurate,Pass,None,OK
3.24,2.9,1.19,5.12,44.31,117,28.33,99.13,48.34,4.43,1.32,148,199,0.011,0.023,Clear,Pass,Accurate,Pass,None,OK
4.44,3.66,1.42,5.8,48.24,120,34.73,48.98,50.17,2.6,1.16,167,213,0.08,0.046,Clear,Pass,Accurate,Fail,Misalignment,Faulty
3.38,2.74,1.13,5.14,46.15,102,34.65,74.66,48.69,3.97,1.35,156,206,0.037,0.005,Clear,Pass,Accurate,Pass,None,OK
4.28,3.04,1.36,5.41,49.69,104,36.12,66.02,53.17,2.99,1.02,155,204,0.017,0.075,Clear,Pass,Accurate,Fail,Misalignment,Faulty
3.29,2.82,1.39,4.77,45.84,124,32.72,50.6,47.06,3.13,1.38,160,196,0.041,0.034,Clear,Pass,Accurate,Pass,None,OK
4.49,3.88,1.44,4.89,49.25,123,24.98,94.84,51.39,3.23,1.24,167,194,0.023,0.046,Clear,Fail,Inaccurate,Fail,Solder Bridge,Faulty
2.65,2.52,1.57,4.25,45.17,140,31.81,36.2,49.48,3.13,1.59,168,211,0.002,0.05,Blurred,Pass,Accurate,Fail,Solder Bridge,Faulty
3.61,2.86,1.23,4.41,41.17,81,21.4,96.81,51.62,4.22,1.3,153,193,0.035,0.066,Clear,Pass,Accurate,Fail,Misalignment,Faulty
4.44,3.75,1.19,4,45.28,121,20.53,94.49,52.07,2.98,1.33,135,220,0.015,0.047,Clear,Pass,Accurate,Fail,Misalignment,Faulty
3.55,3.68,1.12,4.08,41.27,80,25.22,33.79,53.93,3.86,1.43,155,200,0.058,0.069,Clear,Pass,Accurate,Fail,Short Circuit,Faulty
3.35,2.73,1.39,5.36,44.28,116,25.2,97.77,52.5,3.81,1.44,150,200,0.016,0.045,Clear,Pass,Accurate,Pass,None,OK
3.89,3.61,1.26,4.48,44.82,136,38.15,86.92,50.14,3.59,1.13,137,215,0.009,0.041,Clear,Pass,Accurate,Fail,Solder Bridge,Faulty
3.02,2.77,1.3,4.83,44.96,123,34.57,74.89,51.12,4.36,1.45,145,196,0.015,0.022,Clear,Pass,Accurate,Pass,None,OK
3.76,2.97,1.54,5.68,40.1,88,29.81,84.54,54.65,4.92,1.57,169,219,0.021,0.033,Clear,Pass,Accurate,Fail,Misalignment,Faulty
3.04,2.59,1.39,5.42,43.3,103,32.75,91.81,51.14,3.01,1.22,152,200,0.042,0.035,Clear,Pass,Accurate,Pass,None,OK
3.68,2.93,1.05,4.97,46.31,118,26.49,77.42,50.43,3.25,1.47,143,204,0.031,0.049,Clear,Pass,Accurate,Pass,None,OK
3.68,2.74,1.4,4.51,44.06,114,25.76,55.09,51.14,4.22,1.48,152,208,0.015,0.012,Clear,Pass,Accurate,Pass,None,OK
3.06,2.99,0.84,5.2,43.84,117,26.78,70.9,46.95,4.83,1.5,170,196,0.035,0.046,Clear,Pass,Accurate,Fail,Open Circuit,Faulty
4.4,2.87,0.83,5.46,44.24,112,22.22,33.41,45.42,4.01,1.4,160,213,0.022,0.08,Clear,Pass,Accurate,Fail,Delamination,Faulty
3.33,2.95,1.04,4.66,46.56,115,28.08,80.78,52.89,4.34,1.38,147,208,0.036,0.041,Clear,Pass,Accurate,Pass,None,OK
3.89,3.29,1.17,4.6,45.39,96,31.24,99.87,49.31,4.06,1.26,165,199,0.017,0.015,Clear,Pass,Accurate,Pass,None,OK
3.27,2.95,1.1,4.54,45.27,111,31.17,51.74,51.28,4.49,1.45,141,205,0.029,0.021,Clear,Pass,Accurate,Pass,None,OK
3.05,3.22,1.5,4.68,44.11,101,36.24,99.79,48.05,3.39,1.58,124,193,0.069,0.058,Clear,Pass,Accurate,Fail,Misalignment,Faulty
3.4,3.45,1.38,5.21,43.65,124,27.76,92.09,49.16,3.14,1.36,166,209,0.05,0.014,Clear,Pass,Accurate,Pass,None,OK
3.43,3.5,1.33,4.14,49.66,140,23.27,82.42,52.04,3.62,1.23,158,209,0.007,0.042,Clear,Pass,Accurate,Fail,Solder Bridge,Faulty
3.73,2.65,1.25,4.69,43.28,100,29.46,61.77,52.13,3.82,1.45,140,197,0.015,0.022,Clear,Pass,Accurate,Pass,None,OK
3.67,3.91,1.49,4.24,43.72,85,29.05,99.4,45.95,4.51,1.23,134,194,0.088,0.059,Clear,Pass,Inaccurate,Fail,Misalignment,Faulty
3.74,3.35,1.24,5.34,45.21,97,27.12,69.69,52.15,4.03,1.44,134,190,0.047,0,Clear,Pass,Accurate,Pass,None,OK
3.86,2.75,1.4,4.76,44.87,121,25.51,68.64,52.41,4.05,1.23,150,191,0.016,0.015,Clear,Pass,Accurate,Pass,None,OK
3.03,3.43,1.24,4.53,43.48,114,30.17,94.94,47.03,4.19,1.38,161,199,0.027,0.022,Clear,Pass,Accurate,Pass,None,OK
3.18,2.73,1.26,5.32,46.34,124,28.47,75.22,48.79,4.38,1.34,158,199,0.023,0.032,Clear,Pass,Accurate,Pass,None,OK
3.64,3.25,1.02,4.97,44.67,111,30.43,72.36,47.8,3.54,1.48,136,199,0.039,0.032,Clear,Pass,Accurate,Pass,None,OK
3.34,2.56,1.34,5.1,44.04,100,34.47,90.9,49.72,3.06,1.29,165,198,0.003,0.029,Clear,Pass,Accurate,Pass,None,OK
4.13,2.5,0.82,4.68,40.1,92,30.18,91.82,51.7,4.56,1.43,155,201,0.082,0.012,Blurred,Pass,Accurate,Fail,Open Circuit,Faulty
3.04,3.13,1.39,4.84,46.15,102,26.43,52.45,49.97,3.54,1.26,169,207,0.031,0.015,Clear,Pass,Accurate,Pass,None,OK
2.83,3.52,1.3,4.18,48.08,122,27.13,54.79,50.87,2.67,1.11,133,210,0.033,0.008,Clear,Pass,Accurate,Fail,Short Circuit,Faulty
3.59,2.72,1.38,4.55,46.65,108,25.02,54.32,48.54,4.01,1.47,156,191,0.038,0.047,Clear,Pass,Accurate,Pass,None,OK
3.39,3.17,1.09,4.87,44.22,104,25.77,51.08,51.34,3.32,1.24,135,194,0.024,0.02,Clear,Pass,Accurate,Pass,None,OK
4.4,2.13,1.48,4.36,48.55,136,30.01,68.1,45.68,3.45,1.58,144,182,0.045,0.098,Clear,Fail,Inaccurate,Fail,Solder Bridge,Faulty
3.36,3.14,1.09,5.02,46.1,114,29.63,84.4,48.62,4.21,1.41,167,200,0.005,0.011,Clear,Pass,Accurate,Pass,None,OK
3.26,3.42,1.15,4.51,45.61,104,32.07,76.28,52.12,3.33,1.29,133,195,0.012,0.028,Clear,Pass,Accurate,Pass,None,OK
3.01,3.13,1.12,5.07,46.96,109,30.81,93.8,48.07,3.02,1.37,164,197,0.034,0.037,Clear,Pass,Accurate,Pass,None,OK
3.18,2.91,1.12,5.39,43.82,102,29.95,74.93,49.2,3.76,1.38,139,197,0.045,0.001,Clear,Pass,Accurate,Pass,None,OK
3.47,2.69,1.24,4.72,46.84,105,28.54,61.09,50.73,4.09,1.33,167,199,0.021,0.014,Clear,Pass,Accurate,Pass,None,OK
2.59,3.06,1.48,4.39,45.08,134,22.94,55.77,51.67,4.71,1.47,120,188,0.086,0.049,Blurred,Pass,Accurate,Fail,Short Circuit,Faulty
3.28,3.16,1.32,5.43,44.26,110,28.1,90.26,50.63,3.52,1.49,159,200,0.028,0.041,Clear,Pass,Accurate,Pass,None,OK
3.87,2.62,1.37,4.6,44.65,120,28.76,64.72,47.47,4.12,1.24,138,208,0.011,0.025,Clear,Pass,Accurate,Pass,None,OK
4.12,3.8,1.11,4.64,47.27,92,25.64,30.26,50.27,4.26,1.02,180,190,0.072,0.032,Clear,Pass,Accurate,Fail,Delamination,Faulty
3.14,3.33,1.03,5.33,44.44,97,31.12,96.78,52.08,3.66,1.32,145,203,0.021,0.02,Clear,Pass,Accurate,Pass,None,OK
3.88,2.75,1.11,5.34,44.07,109,26.68,62.52,50.59,3.26,1.33,133,200,0.017,0.047,Clear,Pass,Accurate,Pass,None,OK
3.4,3.02,1.1,4.76,45.77,107,32.71,58.39,52.22,3.14,1.39,155,192,0.033,0.004,Clear,Pass,Accurate,Pass,None,OK
3.26,3.12,1.18,4.87,42.12,108,33.33,59.22,54.67,2.86,1.41,129,199,0.018,0.03,Clear,Pass,Inaccurate,Fail,Short Circuit,Faulty
3.28,3.1,1.14,5.46,45.36,105,30.75,74.67,52.21,4.07,1.32,158,190,0.049,0.031,Clear,Pass,Accurate,Pass,None,OK
